Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Alexandru Ionescu,508.69,127.17,25,8.62,176.96
Andrei Popescu,455.39,113.85,0,11.46,169.34
Bogdan Constantin,382.34,95.58,15,5.77,180.92
Cosmin Barbu,448.78,112.19,15,10.58,165.22
Cristina Dinu,228.44,57.11,0,4.5,87.68
Diana Matei,359.04,89.76,0,4.38,158.74
Dragos Nistor,453.08,113.27,25,12.18,180.33
Gabriel Stan,568.31,142.08,20,13.78,146.84
Ioana Munteanu,403.94,100.98,0,11.11,182.09
Madalina Florea,320.02,80.0,25,2.88,147.16
Mihai Stoica,495.13,123.78,0,6.49,145.59
